N,p,q,T_source,t_dense_s,t_banded_s,t_band_build_s,speedup_x,flop_dense_theory,flop_banded_theory,mem_dense_measured_KB,mem_banded_measured_KB,mem_dense_theory_KB,mem_banded_theory_KB,cond_B_1norm,cond_relerr_vs_numpy,r_dense,r_banded,e_dense,e_banded,max_diff_dense_vs_banded,fwd_err_dense,fwd_err_banded,kappa_x_u,min_pi,halte_pi_max,pi_max,halte_pi_min,pi_min
16,1,2,csv,0.0005779170314781368,0.00011414999607950449,3.404903691262007e-05,5.062786257790342,3242.6666666666665,240,12.0390625,2.109375,4.0,0.875,893.9353902686373,1.2717567618332224e-16,2.4037033579794548e-17,2.4037033579794548e-17,0.0,0.0,0.0,1.1696412344550113e-15,1.1696412344550113e-15,9.924676528035163e-14,0.03128143631647254,7,0.07752801160734407,12,0.03128143631647254
32,1,2,csv,0.0005590940127149224,0.0001919419737532735,3.215501783415675e-05,2.9128282979604783,23893.333333333332,480,41.9140625,2.984375,16.0,1.75,3470.139397515571,1.4939226371762797e-14,1.2509268882771003e-17,1.2509268882771003e-17,0.0,0.0,0.0,4.3743996090096115e-15,4.3743996090096115e-15,3.852628657780656e-13,0.015590010077180368,4,0.038943690924102325,24,0.015590010077180368
64,1,2,csv,0.001740297011565417,0.0003806460299529135,3.1356990803033113e-05,4.571956291730389,182954.66666666666,960,161.6640625,4.734375,64.0,3.5,13676.630083029368,3.630895214342213e-14,1.1242293031246444e-17,1.1242293031246444e-17,0.0,0.0,0.0,1.1872932666215968e-14,1.1872932666215968e-14,1.518410961746027e-12,0.007798834732920434,7,0.019516183538227518,48,0.007798834732920434
128,1,2,csv,0.0046543030184693635,0.0007756190025247633,6.289500743150711e-05,6.000759397744081,1430869.3333333333,1920,515.1640625,8.234375,256.0,7.0,54310.08501160927,6.564562051758061e-14,6.718555132733216e-18,6.718555132733216e-18,0.0,0.0,0.0,2.7574111712844262e-14,2.7574111712844262e-14,6.029630684923822e-12,0.0039022447321592495,52,0.00977042126111348,96,0.0039022447321592495
256,1,2,csv,0.01823513797717169,0.0016073150327429175,4.059704951941967e-05,11.345092658066562,11315882.666666666,3840,1668.1640625,15.234375,1024.0,14.0,798722019.969863,6.97727497281114e-10,4.872882708070266e-18,4.872882708070266e-18,0.0,0.0,0.0,3.3069903512186056e-10,3.3069903512186056e-10,8.86759576845656e-08,0.0019520516270901413,103,0.004888063192938164,192,0.0019520516270901413
512,1,2,csv,0.10624933696817607,0.003360709990374744,5.170400254428387e-05,31.61514598774662,90002773.33333333,7680,6278.1640625,29.234375,4096.0,28.0,864302.6817301108,7.739446531382677e-13,3.0280118785126722e-18,3.0280118785126722e-18,0.0,0.0,0.0,2.6138745208837695e-13,2.6138745208837695e-13,9.595687375020376e-11,0.0009762852453183952,206,0.0024447576466108457,384,0.0009762852453183952
